author_book_count,author_avg_lexile,author_lexile_consistency,is_prolific_author,is_specialist_author,title_length,title_word_count,title_has_numbers,description_length,description_word_count,has_substantial_description,theme_count,has_friendship_theme,has_adventure_theme,has_family_theme,has_imagination_theme,has_magic_theme,has_humor_theme,has_complex_themes,reading_confidence_llm,lexile_confidence,avg_confidence,high_confidence,data_completeness_score,author_primary_category_encoded
5,570.0,164.31676725154983,1,0,57,8,1,159,24,1,3,1,0,0,0,0,1,0,0.9,0.8,0.8500000000000001,1,1.0,1
3,175.0,0.0,0,1,16,3,0,98,18,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,19,4,0,137,27,1,3,0,1,1,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
9,750.0,0.0,1,1,59,10,1,642,95,1,4,1,0,0,0,1,0,1,0.9,0.6,0.75,0,1.0,3
2,312.5,194.45436482630058,0,0,10,2,0,437,73,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
9,750.0,0.0,1,1,58,10,1,506,67,1,4,1,0,0,0,1,0,1,0.9,0.6,0.75,0,1.0,3
1,450.0,0.0,0,1,9,2,0,512,83,1,3,1,1,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
9,750.0,0.0,1,1,55,9,1,789,110,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
9,750.0,0.0,1,1,54,10,1,605,88,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
3,750.0,0.0,0,1,17,3,0,725,124,1,4,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,450.0,0.0,0,1,35,5,1,70,10,0,3,0,0,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,1
4,450.0,0.0,0,1,43,6,1,281,51,1,3,1,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
6,175.0,0.0,1,1,28,4,0,181,32,1,4,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
5,570.0,164.31676725154983,1,0,17,3,1,691,118,1,4,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,1
2,175.0,0.0,0,1,10,2,0,75,12,0,3,1,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
9,750.0,0.0,1,1,60,11,1,917,108,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
9,750.0,0.0,1,1,57,9,1,1091,123,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
5,355.0,132.75918047351755,1,0,30,5,0,160,32,1,3,0,0,0,0,1,0,0,0.9,0.6,0.75,0,1.0,1
4,243.75,137.5,0,0,11,2,0,517,99,1,3,0,0,0,0,1,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
2,312.5,194.45436482630058,0,0,7,2,0,103,17,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,175.0,0.0,0,1,41,9,0,221,38,1,2,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
8,525.0,290.01231500945414,1,0,8,1,0,397,72,1,4,0,0,0,1,0,0,1,0.9,0.6,0.75,0,1.0,1
4,750.0,0.0,0,1,31,5,1,405,63,1,3,0,0,1,0,0,0,0,0.8,0.6,0.7,0,1.0,3
4,750.0,0.0,0,1,16,3,0,541,94,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
6,650.0,154.91933384829667,1,0,46,8,1,824,127,1,4,0,0,1,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,750.0,0.0,0,1,35,5,1,138,25,1,3,0,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
2,600.0,212.13203435596427,0,0,33,5,1,193,32,1,3,0,1,0,1,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,1
6,154.16666666666666,51.031036307982866,1,0,21,5,0,122,23,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
2,600.0,212.13203435596427,0,0,21,3,0,171,30,1,3,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,750.0,0.0,0,1,22,5,0,67,2,0,3,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,4
8,175.0,0.0,1,1,17,3,0,115,20,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
3,175.0,0.0,0,1,34,6,0,203,37,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,750.0,0.0,0,1,35,5,1,877,142,1,4,1,1,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
1,175.0,0.0,0,1,24,5,0,137,25,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,450.0,0.0,0,1,31,5,1,197,30,1,4,1,1,0,1,1,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,750.0,0.0,0,1,24,5,0,219,29,1,3,1,0,0,0,0,0,1,0.9,0.6,0.75,0,0.6666666666666666,3
11,706.8181818181819,178.91719770990053,1,0,54,9,1,250,43,1,3,0,0,1,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,450.0,0.0,0,1,19,3,1,547,91,1,3,1,0,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
4,287.5,136.16778865306827,0,0,25,5,0,108,21,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,15,2,0,225,38,1,3,0,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
3,450.0,0.0,0,1,13,2,0,503,87,1,3,1,1,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,1
2,175.0,0.0,0,1,26,6,0,2967,477,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,450.0,0.0,0,1,17,3,0,814,134,1,3,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,1000.0,0.0,0,1,21,4,0,1324,211,1,4,0,0,1,0,0,0,0,1.0,0.4,0.7,0,1.0,0
2,750.0,0.0,0,1,15,3,0,324,59,1,3,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
2,175.0,0.0,0,1,26,6,0,143,23,1,3,0,1,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
7,257.14285714285717,217.32957198030564,1,0,32,6,0,137,25,1,3,0,0,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
5,230.0,122.98373876248843,1,0,10,2,0,123,23,1,3,0,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
3,175.0,0.0,0,1,28,7,0,89,19,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,450.0,0.0,0,1,26,5,0,162,29,1,3,1,0,0,0,0,1,0,0.9,0.8,0.8500000000000001,1,1.0,1
14,750.0,0.0,1,1,57,9,1,473,87,1,4,1,1,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
1,750.0,0.0,0,1,27,5,0,420,74,1,4,0,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
1,175.0,0.0,0,1,48,7,1,374,68,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
3,450.0,0.0,0,1,19,3,0,925,172,1,3,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
4,287.5,136.16778865306827,0,0,19,3,0,98,19,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
4,525.0,150.0,0,0,16,1,0,109,20,1,3,1,0,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,1
3,175.0,0.0,0,1,27,7,0,162,32,1,3,1,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
10,175.0,0.0,1,1,38,8,0,50,10,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,0.6666666666666666,2
1,750.0,0.0,0,1,31,5,0,57,10,0,4,0,1,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,750.0,0.0,0,1,20,4,0,307,48,1,4,0,1,1,0,0,1,0,0.9,0.6,0.75,0,1.0,3
1,450.0,0.0,0,1,13,2,0,255,48,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
7,175.0,0.0,1,1,39,7,0,97,17,0,3,0,0,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
10,720.0,94.86832980505137,1,0,42,8,1,412,75,1,4,1,1,0,0,0,0,0,0.8,0.6,0.7,0,1.0,3
1,175.0,0.0,0,1,6,1,0,299,52,1,3,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,15,2,0,121,20,1,3,0,1,0,1,0,0,1,1.0,0.8,0.9,1,1.0,2
1,450.0,0.0,0,1,25,4,0,117,21,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
10,750.0,0.0,1,1,48,7,1,534,89,1,3,0,1,0,0,1,0,0,0.9,0.6,0.75,0,1.0,3
1,750.0,0.0,0,1,27,5,0,695,124,1,4,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
7,257.14285714285717,217.32957198030564,1,0,8,2,0,109,22,1,3,0,0,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,750.0,0.0,0,1,36,6,0,565,94,1,4,0,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
3,650.0,173.20508075688772,0,0,30,5,1,701,129,1,3,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,175.0,0.0,0,1,38,7,0,109,23,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
3,383.3333333333333,115.47005383792515,0,0,61,8,1,210,35,1,3,1,0,0,1,0,1,0,0.9,0.8,0.8500000000000001,1,1.0,1
2,450.0,0.0,0,1,22,4,0,96,18,0,3,0,0,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
2,600.0,212.13203435596427,0,0,26,5,0,290,43,1,3,0,0,1,1,0,0,0,0.8,0.8,0.8,1,1.0,1
1,175.0,0.0,0,1,21,5,0,74,13,0,3,0,0,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
6,650.0,154.91933384829667,1,0,34,6,1,170,30,1,3,0,0,1,0,0,0,0,0.9,0.6,0.75,0,1.0,3
3,233.33333333333334,101.0362971081845,0,0,40,8,1,121,20,1,3,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
5,570.0,164.31676725154983,1,0,51,8,1,875,149,1,3,1,1,0,0,0,1,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,450.0,0.0,0,1,48,9,1,391,75,1,4,0,1,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,750.0,0.0,0,1,16,3,0,985,164,1,3,0,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
4,525.0,150.0,0,0,15,3,0,143,26,1,3,0,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
3,175.0,0.0,0,1,6,1,0,563,100,1,3,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,2
2,350.0,141.4213562373095,0,0,52,9,1,132,25,1,3,0,0,0,1,0,0,0,0.9,0.6,0.75,0,1.0,1
1,175.0,0.0,0,1,11,2,0,124,24,1,3,1,1,0,1,0,0,0,1.0,0.8,0.9,1,1.0,2
3,450.0,0.0,0,1,23,5,0,507,92,1,4,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,175.0,0.0,0,1,14,3,0,153,31,1,3,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
3,266.6666666666667,158.77132402714707,0,0,46,7,1,1826,162,1,3,1,1,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
5,175.0,0.0,1,1,41,6,0,105,20,1,3,1,1,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
8,175.0,0.0,1,1,29,5,0,102,19,1,4,0,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
3,266.6666666666667,158.77132402714707,0,0,8,1,0,121,19,1,3,0,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
