title,author,goodreads_url
The Poky Little Puppy,Janette Sebring Lowrey,https://www.goodreads.com/book/show/505304.The_Poky_Little_Puppy
The Rainbow Fish,Marcus Pfister,https://www.goodreads.com/book/show/766020.The_Rainbow_Fish
Make Way for Ducklings,Robert McCloskey,https://www.goodreads.com/book/show/29291.Make_Way_for_Ducklings
James and the Giant Peach,Roald Dahl,https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
Don't Let the Pigeon Drive the Bus!,Mo Willems,https://www.goodreads.com/book/show/191113.Don_t_Let_the_Pigeon_Drive_the_Bus_
The Polar Express,Chris Van Allsburg,https://www.goodreads.com/book/show/420282.The_Polar_Express
The Phantom Tollbooth,Norton Juster,https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth
"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
"Go, Dog. Go!",P.D. Eastman,https://www.goodreads.com/book/show/460548.Go_Dog_Go_
"The Giver (The Giver, #1)",Lois Lowry,https://www.goodreads.com/book/show/3636.The_Giver
The Story of Ferdinand,Munro Leaf,https://www.goodreads.com/book/show/773951.The_Story_of_Ferdinand
The Night Before Christmas,Clement Clarke Moore,https://www.goodreads.com/book/show/196970.The_Night_Before_Christmas
Bridge to Terabithia,Katherine Paterson,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia
Blueberries for Sal,Robert McCloskey,https://www.goodreads.com/book/show/133526.Blueberries_for_Sal
"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,https://www.goodreads.com/book/show/775597.Caps_for_Sale
Clifford the Big Red Dog,Norman Bridwell,https://www.goodreads.com/book/show/858719.Clifford_the_Big_Red_Dog
The Witches,Roald Dahl,https://www.goodreads.com/book/show/6327.The_Witches
Fox in Socks,Dr. Seuss,https://www.goodreads.com/book/show/105551.Fox_in_Socks
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
"Little Bear (Little Bear, #1)",Else Holmelund Minarik,https://www.goodreads.com/book/show/201146.Little_Bear
