title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url
"The Castle of Llyr (The Chronicles of Prydain, #3)",Lloyd Alexander,https://www.goodreads.com/book/show/24779.The_Castle_of_Llyr,The Castle of Llyr,Lloyd Alexander,https://covers.openlibrary.org/b/id/8311440-L.jpg,https://openlibrary.org/works/OL1966676W
The Clown of God,Tomie dePaola,https://www.goodreads.com/book/show/69086.The_Clown_of_God,The clown of God,Tomie dePaola,https://covers.openlibrary.org/b/id/116037-L.jpg,https://openlibrary.org/works/OL61084W
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,https://www.goodreads.com/book/show/9520360-the-son-of-neptune,The Son of Neptune,Rick Riordan,https://covers.openlibrary.org/b/id/13012024-L.jpg,https://openlibrary.org/works/OL15980243W
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,The Battle of the Labyrinth,Rick Riordan,https://covers.openlibrary.org/b/id/6274739-L.jpg,https://openlibrary.org/works/OL492640W
I Love You As Much...,Laura Krauss Melmed,https://www.goodreads.com/book/show/730421.I_Love_You_As_Much_,I Love You As Much...,Laura Krauss Melmed,https://covers.openlibrary.org/b/id/1339419-L.jpg,https://openlibrary.org/works/OL157899W
Kat Kong,Dav Pilkey,https://www.goodreads.com/book/show/1226587.Kat_Kong,Kat Kong (digest),Dav Pilkey,https://covers.openlibrary.org/b/id/1120395-L.jpg,https://openlibrary.org/works/OL14871291W
"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll,https://www.goodreads.com/book/show/83346.Through_the_Looking_Glass_and_What_Alice_Found_There,"Through the looking-glass, and what Alice found there",Lewis Carroll,,https://openlibrary.org/works/OL43369583W
Stuck,Oliver Jeffers,https://www.goodreads.com/book/show/11211540-stuck,Stuck,Oliver Jeffers,https://covers.openlibrary.org/b/id/12580201-L.jpg,https://openlibrary.org/works/OL27061081W
"The Frog Prince, Continued",Jon Scieszka,https://www.goodreads.com/book/show/820075.The_Frog_Prince_Continued,The Frog Prince Continued,Jon Scieszka,https://covers.openlibrary.org/b/id/4856319-L.jpg,https://openlibrary.org/works/OL39171W
The Dangerous Alphabet,Neil Gaiman,https://www.goodreads.com/book/show/1967071.The_Dangerous_Alphabet,The Dangerous Alphabet,Neil Gaiman,https://covers.openlibrary.org/b/id/2312222-L.jpg,https://openlibrary.org/works/OL679339W
